Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,30933.0,1628.0,1368.0,260.0,0.0,84.02948402948402,15.97051597051597,0.0,0.5577972603655631,0.18928634564426014,0.3500652300008101,51.76880281692975,81.87496107605178,1296.4502039593576,38400.192563935416,-37103.74235997606,0.7963453341273695,23.5873418697392,-22.79099653561183,564.2477079606015,0.34658950120430065,70848.56468480288,0.9004854368932039,1113.0,0.3494897959183674,137.0,0.6505102040816326,255.0,0.09951456310679611,123.0,0.8904,0.9004854368932039,0.8954143201930812,0.5579554519343759,0.8638041988640116,0.9383421537859998,0.8402948402948403,0.28929919932000375,0.7107008006799962,0.1597051597051597,0.8384390936390936,0.8402948402948403,0.839292667933054,0.5579554519343759,0.8638128957780483,0.8740696132970969,0.7788759912653718,0.8402948402948403,2.009,0.021,1.9656125999999998,0.015600099999999999,1965.6126,15.6001,1344870.0,4613899.0,247454.0,95.33169533169533,68.24324324324324,'Number of leaves: 6650\nSize of the tree: 7722\n',7722.0,6650.0,6650.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,29305.0,3256.0,2748.0,508.0,0.0,84.3980343980344,15.601965601965603,0.0,0.5641589935579614,0.18843807247900132,0.34960988499629275,51.536636998028605,81.76846272495791,2592.900410420958,83217.228697613,-80624.32828719204,0.7963453348958717,25.558116921871314,-24.761771586975442,1139.8806652311007,0.3500861993953012,143126.01105648006,0.906957928802589,2242.0,0.35459183673469385,278.0,0.6454081632653061,506.0,0.09304207119741101,230.0,0.8896825396825396,0.906957928802589,0.8982371794871795,0.5646379936333255,0.8572757227891157,0.9294757402244742,0.8439803439803439,0.29161425191244883,0.7083857480875513,0.15601965601965603,0.8409997659997659,0.8439803439803439,0.8422669702274966,0.5646379936333255,0.8572714985737263,0.8722606539341488,0.782013326585695,0.8439803439803439,1.533,0.015,1.4352092,0.015600099999999999,1435.2092,15.6001,1335212.0,4371327.0,490026.0,95.27027027027027,68.99570024570025,'Number of leaves: 6624\nSize of the tree: 7669\n',7669.0,6624.0,6624.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,27677.0,4884.0,4129.0,755.0,0.0,84.54135954135954,15.458640458640458,0.0,0.5685465923626352,0.18568637627455162,0.34604723474172744,50.783880625999515,80.93521268011078,3889.3506200663232,129012.48724764038,-125123.13662757406,0.7963453358039155,26.415333179287547,-25.61898784348363,1746.631999723982,0.3576232595667449,219309.9202099277,0.9074973031283711,3365.0,0.35034013605442177,412.0,0.6496598639455783,764.0,0.09250269687162892,343.0,0.8909187185597035,0.9074973031283711,0.8991315965263862,0.5689890940585123,0.8552719024503005,0.9248343565278719,0.8454135954135954,0.2882564283396461,0.7117435716603538,0.15458640458640457,0.8425772327242715,0.8454135954135954,0.8437900553011195,0.5689890940585122,0.8552816761251228,0.8704303414956429,0.784213192043307,0.8454135954135954,1.356,0.023,1.3416086,0.015600099999999999,1341.6086,15.6001,1251004.0,4128755.0,732598.0,95.35217035217035,68.47870597870597,'Number of leaves: 6188\nSize of the tree: 7181\n',7181.0,6188.0,6188.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,26049.0,6512.0,5499.0,1013.0,0.0,84.44410319410319,15.555896805896806,0.0,0.5657356585889418,0.18540570360551734,0.346482142413724,50.70691129060069,81.03693094378313,5185.800833810535,185572.8505743226,-180387.04974051207,0.7963453368873671,28.497059363378778,-27.70071402649141,2334.9382884227107,0.358559319475232,293176.8441816563,0.906957928802589,4484.0,0.35267857142857145,553.0,0.6473214285714286,1015.0,0.09304207119741101,460.0,0.8902124280325591,0.906957928802589,0.8985071636108607,0.5661858083337934,0.8497895175970874,0.9187624699525452,0.8444410319410319,0.2901616745670144,0.7098383254329856,0.15555896805896807,0.8415551066281425,0.8444410319410319,0.8427886657743233,0.5661858083337934,0.8497894244158656,0.8649784442127637,0.78280599718499,0.8444410319410319,1.109,0.007,1.0920070000000002,0.015600099999999999,1092.007,15.6001,1203606.0,3886183.0,975170.0,95.37776412776412,68.71928746928747,'Number of leaves: 5940\nSize of the tree: 6906\n',6906.0,5940.0,5940.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,24421.0,8140.0,6881.0,1259.0,0.0,84.53316953316953,15.466830466830467,0.0,0.5670867553367199,0.18460067758408488,0.34636843208555457,50.48650938091937,81.01033574499787,6482.251052905279,221793.6587937612,-215311.4077408559,0.7963453381947517,27.247378230191792,-26.45103289199704,2929.723439416503,0.35991688444920183,367856.0742774516,0.9087378640776699,5616.0,0.35459183673469385,695.0,0.6454081632653061,1265.0,0.0912621359223301,564.0,0.8898748217398194,0.9087378640776699,0.8992074293491312,0.5676629562005431,0.851818695924972,0.9233649744488617,0.8453316953316953,0.2911856679887193,0.7088143320112806,0.15466830466830467,0.8421413456545689,0.8453316953316953,0.843469008301797,0.5676629562005431,0.8518193121634522,0.8679279828586023,0.7834648917661465,0.8453316953316953,1.116,0.009,1.1076070999999998,0.015600099999999999,1107.6071,15.6001,1098222.0,3643611.0,1217742.0,95.3931203931204,68.02211302211302,'Number of leaves: 5384\nSize of the tree: 6294\n',6294.0,5384.0,5384.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,22793.0,9768.0,8245.0,1523.0,0.0,84.40827190827191,15.591728091728092,0.0,0.5609953193023358,0.18539810353000516,0.3481772801771701,50.70432910934995,81.43339785576961,7778.701279086867,283703.27684973646,-275924.5755706496,0.7963453397918577,29.04415201164378,-28.247806671851922,3489.8455708497722,0.357273297589043,438181.60427506367,0.9105987055016181,6753.0,0.3656462585034014,860.0,0.6343537414965986,1492.0,0.08940129449838188,663.0,0.887035334296598,0.9105987055016181,0.8986625856677091,0.5619019951610336,0.8488998552495431,0.9218746652212025,0.844082719082719,0.2991302720845023,0.7008697279154975,0.1559172809172809,0.8401561923091069,0.844082719082719,0.8416970448610099,0.5619019951610336,0.8488930357645683,0.8642161414340085,0.7803718963395123,0.844082719082719,0.952,0.01,0.9516061,0.015600099999999999,951.6061,15.6001,1040418.0,3401039.0,1460314.0,95.27027027027027,68.34049959049959,'Number of leaves: 5125\nSize of the tree: 5964\n',5964.0,5125.0,5125.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,21165.0,11396.0,9639.0,1757.0,0.0,84.58230958230958,15.417690417690418,0.0,0.5658306876957664,0.18623907273835433,0.3501194329806629,50.93401356392384,81.88763789903675,9075.151514830734,323361.4033474943,-314286.2518326636,0.7963453417717387,28.374991518734145,-27.57864617696241,4050.020043028563,0.35538961416537057,508512.0055454534,0.9118122977346278,7889.0,0.3622448979591837,994.0,0.6377551020408163,1750.0,0.08818770226537216,763.0,0.888100866824271,0.9118122977346278,0.8998003992015968,0.5667547858211517,0.8459991387083861,0.9193229541040364,0.8458230958230958,0.2962556960476517,0.7037443039523483,0.1541769041769042,0.8419368383215949,0.8458230958230958,0.8434512569263042,0.5667547858211517,0.8459840877224614,0.8629709163319533,0.7827896802932086,0.8458230958230958,0.78,0.011,0.780005,0.015600099999999999,780.005,15.6001,964998.0,3158467.0,1702886.0,94.84906984906985,68.32660582660583,'Number of leaves: 4727\nSize of the tree: 5526\n',5526.0,4727.0,4727.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,19537.0,13024.0,11007.0,2017.0,0.0,84.51320638820638,15.486793611793612,0.0,0.5664603673462274,0.18611696388718607,0.34909155452454593,50.90025539889232,81.647232539208,10371.601763730496,407586.5488030702,-397214.9470393397,0.7963453442667764,31.29503599532173,-30.49869065105495,4660.225706703655,0.3578183128611529,585122.0267823321,0.9086771844660194,8985.0,0.3552295918367347,1114.0,0.6447704081632653,2022.0,0.09132281553398058,903.0,0.8896920487176948,0.9086771844660194,0.8990844048631611,0.5670438404786925,0.8480221787592465,0.9203287795279492,0.8451320638820639,0.2916844712527792,0.7083155287472208,0.15486793611793612,0.8419176513007586,0.8451320638820639,0.8432538352156704,0.5670438404786925,0.8480373168252417,0.8608322872266065,0.7831505178910757,0.8451320638820639,0.56,0.013,0.5616036,0.015600099999999999,561.6036,15.6001,915450.0,2915895.0,1945458.0,94.89404176904176,68.33538083538083,'Number of leaves: 4512\nSize of the tree: 5244\n',5244.0,4512.0,4512.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,17909.0,14652.0,12359.0,2293.0,0.0,84.35025935025935,15.64974064974065,0.0,0.5598223537840615,0.18557262050700848,0.35011388814871197,50.75095781261869,81.88634072308784,11668.05203116867,482379.04856479284,-470710.9965336242,0.7963453474726092,32.9224029869501,-32.12605763947749,5211.341344035747,0.35567440240484216,654310.1374748048,0.9097446961524631,10120.0,0.36536281179138325,1289.0,0.6346371882086168,2239.0,0.09025530384753686,1004.0,0.887019020071873,0.9097446961524631,0.8982381396174499,0.5606620730360279,0.849024837820781,0.9213660708334711,0.8435025935025935,0.2991207091415136,0.7008792908584864,0.1564974064974065,0.8396783006958575,0.8435025935025935,0.8411987047649279,0.5606620730360279,0.8490114872141187,0.863184827442314,0.7797940070410393,0.8435025935025935,0.604,0.023,0.6084039,0.0,608.4039,0.0,883808.0,2673323.0,2188030.0,94.71744471744472,67.69041769041769,'Number of leaves: 4335\nSize of the tree: 5059\n',5059.0,4335.0,4335.0
adult,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,2.01706151246E7,16281.0,16280.0,13658.0,2622.0,0.0,83.8943488943489,16.105651105651106,0.0,0.5458057146164761,0.19034370236012596,0.35650093274349526,52.05524124163837,83.38017356520444,12964.50232546981,556417.3138713294,-543452.8115458596,0.7963453516873348,34.177967682514094,-33.38162233082675,5606.388143166079,0.3443727360667125,703899.8126550714,0.9079288025889968,11222.0,0.37857142857142856,1484.0,0.6214285714285714,2436.0,0.09207119741100324,1138.0,0.8832047851408783,0.9079288025889968,0.895396154153036,0.5467887072163128,0.8487462539627502,0.9269549927650139,0.8389434889434889,0.30958611492592075,0.6904138850740793,0.16105651105651106,0.8346585397313186,0.8389434889434889,0.8363370541740063,0.5467887072163128,0.84874784177077,0.8644282465064675,0.7727581251149488,0.8389434889434889,0.509,0.016,0.5148033000000001,0.015600099999999999,514.8033,15.6001,841198.0,2430751.0,2430602.0,94.33660933660934,67.87162162162163,'Number of leaves: 4130\nSize of the tree: 4814\n',4814.0,4130.0,4130.0
